epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,2303.26,1.08157,0.73854,0.01642,0.86874,0.84728,0.8896,0.67036,1.08642,0.47278,0.02481,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,2347.17,1.06572,0.72256,0.0162,0.85331,0.8452,0.8998,0.68873,1.06227,0.47408,0.02389,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,2390.66,1.06742,0.72557,0.01615,0.8497,0.84565,0.88009,0.65889,1.0815,0.46113,0.02453,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,2434.02,1.07629,0.71863,0.01635,0.90592,0.7995,0.86488,0.65169,1.07805,0.47231,0.02442,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,2477.7,1.0545,0.70321,0.01605,0.89635,0.81173,0.87327,0.65715,1.07368,0.47275,0.0242,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,2521.09,1.0573,0.7072,0.01592,0.90928,0.81155,0.89225,0.68086,1.06596,0.46142,0.02402,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,2564.52,1.05827,0.71166,0.0159,0.86209,0.78624,0.87843,0.66452,1.05877,0.47411,0.0238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,2607.76,1.05959,0.70291,0.01598,0.84724,0.83807,0.88836,0.67375,1.06674,0.44876,0.02407,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,2651.1,1.05203,0.69568,0.01591,0.93122,0.80036,0.89942,0.68122,1.06352,0.45221,0.02402,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,2694.64,1.04743,0.68559,0.01565,0.88517,0.86718,0.90874,0.69582,1.05556,0.46071,0.02372,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,2737.73,1.04947,0.68863,0.01606,0.8971,0.82071,0.90544,0.69577,1.05006,0.45698,0.02362,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,2781.1,1.04084,0.69645,0.01569,0.90185,0.81425,0.8942,0.68389,1.04589,0.45916,0.02345,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,2824.86,1.03478,0.68607,0.01567,0.86724,0.84448,0.89007,0.68586,1.04709,0.45022,0.02348,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,2868.24,1.0359,0.67443,0.01556,0.88511,0.84151,0.89235,0.68172,1.04715,0.45835,0.02344,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,2911.79,1.03405,0.66758,0.01538,0.81946,0.87601,0.89226,0.6794,1.04077,0.44681,0.02322,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,2954.95,1.01599,0.66326,0.0152,0.8244,0.86179,0.88344,0.67193,1.04987,0.4404,0.02353,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,2998.61,1.01635,0.66354,0.01512,0.83759,0.86065,0.88032,0.6631,1.04839,0.44583,0.0235,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
